voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	4.032	2.008	10.72	0.458	0.806	0.806
100	5.0	0.0	11.0	0.0	1.0	1.0
97	4.968	0.18	10.935	0.25	1.0	1.0
94	4.71	0.461	11.0	0.0	1.0	1.0
91	4.29	0.461	11.065	0.25	1.0	1.0
88	4.161	0.374	11.226	0.425	1.0	1.0
85	4.0	0.0	11.452	0.506	1.0	1.0
82	4.0	0.0	11.871	0.341	1.0	1.0
79	4.032	0.18	11.935	0.359	1.0	1.0
76	3.903	0.301	12.29	0.529	1.0	1.0
73	3.774	0.425	12.484	0.57	1.0	1.0
70	3.194	0.402	13.0	0.258	1.0	1.0
67	3.032	0.18	13.548	0.506	1.0	1.0
64	2.968	0.18	14.0	1.095	1.0	1.0
61	3.0	0.0	14.581	0.765	1.0	1.0
58	2.935	0.25	15.774	0.884	1.0	1.0
55	2.645	0.608	17.161	1.003	1.0	1.0
52	1.677	0.748	18.968	1.494	1.0	1.0
49	1.097	0.301	22.323	2.737	1.0	1.0
46	0.241	0.511	27.5	6.928	0.194	0.258
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
