col	row	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
3	3	100	5.032	0.18	11.742	0.445	1.0	1.0
3	3	97	4.968	0.18	11.903	0.301	1.0	1.0
3	3	94	4.806	0.402	11.968	0.18	1.0	1.0
3	3	91	4.419	0.502	12.065	0.25	1.0	1.0
3	3	88	4.032	0.18	12.323	0.475	1.0	1.0
3	3	85	4.0	0.0	12.839	0.374	1.0	1.0
3	3	82	4.032	0.18	12.968	0.315	1.0	1.0
3	3	79	4.0	0.0	13.355	0.486	1.0	1.0
3	3	76	3.871	0.341	13.484	0.508	1.0	1.0
3	3	73	3.839	0.374	14.032	0.482	1.0	1.0
3	3	70	3.516	0.508	14.581	0.564	1.0	1.0
3	3	67	3.226	0.425	15.032	0.605	1.0	1.0
3	3	64	3.0	0.0	15.839	0.735	1.0	1.0
3	3	61	3.032	0.18	16.839	0.735	1.0	1.0
3	3	58	2.742	0.445	17.806	1.195	1.0	1.0
3	3	55	2.161	0.454	19.355	1.704	1.0	1.0
3	3	52	1.613	0.495	23.484	3.669	1.0	1.0
3	3	49	1.036	0.693	29.72	3.921	0.71	0.806
3	3	46	0.034	0.186	35.667	6.028	0.032	0.097
3	3	43	0.0	0.0	nan	nan	0.0	0.0
3	3	40	0.0	0.0	nan	nan	0.0	0.0
3	3	37	0.0	0.0	nan	nan	0.0	0.0
3	3	34	0.0	0.0	nan	nan	0.0	0.0
3	3	31	0.0	0.0	nan	nan	0.0	0.0
3	3	28	0.0	0.0	nan	nan	0.0	0.0
3	4	100	5.0	0.0	11.71	0.461	1.0	1.0
3	4	97	4.968	0.18	11.935	0.25	1.0	1.0
3	4	94	4.774	0.425	11.935	0.25	1.0	1.0
3	4	91	4.387	0.495	12.032	0.18	1.0	1.0
3	4	88	4.097	0.301	12.355	0.486	1.0	1.0
3	4	85	4.032	0.18	12.645	0.551	1.0	1.0
3	4	82	4.0	0.0	12.935	0.25	1.0	1.0
3	4	79	3.968	0.18	13.194	0.477	1.0	1.0
3	4	76	4.0	0.0	13.677	0.541	1.0	1.0
3	4	73	3.871	0.341	14.032	0.482	1.0	1.0
3	4	70	3.581	0.502	14.452	0.568	1.0	1.0
3	4	67	3.0	0.0	15.161	0.454	1.0	1.0
3	4	64	3.032	0.18	15.806	0.543	1.0	1.0
3	4	61	2.968	0.18	16.677	0.702	1.0	1.0
3	4	58	2.71	0.461	17.871	0.885	1.0	1.0
3	4	55	2.097	0.396	19.581	1.025	1.0	1.0
3	4	52	1.581	0.502	23.935	2.529	1.0	1.0
3	4	49	1.207	0.726	27.692	4.231	0.774	0.839
3	4	46	0.167	0.461	24.6	4.722	0.129	0.161
3	4	43	0.0	0.0	nan	nan	0.0	0.0
3	4	40	0.0	0.0	nan	nan	0.0	0.0
3	4	37	0.0	0.0	nan	nan	0.0	0.0
3	4	34	0.0	0.0	nan	nan	0.0	0.0
3	4	31	0.0	0.0	nan	nan	0.0	0.0
3	4	28	0.0	0.0	nan	nan	0.0	0.0
3	5	100	5.0	0.0	11.677	0.475	1.0	1.0
3	5	97	5.0	0.0	11.968	0.18	1.0	1.0
3	5	94	4.968	0.18	11.903	0.301	1.0	1.0
3	5	91	4.581	0.502	12.065	0.359	1.0	1.0
3	5	88	4.032	0.18	12.258	0.445	1.0	1.0
3	5	85	4.032	0.18	12.548	0.506	1.0	1.0
3	5	82	4.0	0.0	13.065	0.442	1.0	1.0
3	5	79	4.0	0.0	13.129	0.341	1.0	1.0
3	5	76	3.968	0.18	13.484	0.508	1.0	1.0
3	5	73	3.935	0.25	13.968	0.482	1.0	1.0
3	5	70	3.742	0.445	14.355	0.551	1.0	1.0
3	5	67	3.129	0.341	15.097	0.539	1.0	1.0
3	5	64	3.032	0.18	15.677	0.871	1.0	1.0
3	5	61	2.935	0.25	16.968	0.875	1.0	1.0
3	5	58	2.613	0.495	18.032	1.016	1.0	1.0
3	5	55	2.065	0.359	19.871	1.522	1.0	1.0
3	5	52	1.581	0.502	22.548	1.729	1.0	1.0
3	5	49	1.036	0.637	27.462	5.038	0.742	0.839
3	5	46	0.1	0.403	32.333	4.933	0.065	0.097
3	5	43	0.0	0.0	nan	nan	0.0	0.0
3	5	40	0.0	0.0	nan	nan	0.0	0.0
