voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.125	10.833	0.381	0.774	0.774
100	5.032	0.18	10.935	0.25	1.0	1.0
97	4.968	0.18	11.0	0.0	1.0	1.0
94	4.806	0.402	11.065	0.25	1.0	1.0
91	4.387	0.495	11.065	0.25	1.0	1.0
88	4.161	0.374	11.065	0.25	1.0	1.0
85	4.0	0.0	11.452	0.506	1.0	1.0
82	4.0	0.0	11.806	0.402	1.0	1.0
79	3.968	0.18	12.0	0.365	1.0	1.0
76	3.968	0.18	12.129	0.499	1.0	1.0
73	3.774	0.425	12.581	0.502	1.0	1.0
70	3.258	0.445	12.871	0.499	1.0	1.0
67	3.0	0.0	13.226	0.425	1.0	1.0
64	3.0	0.0	14.097	0.746	1.0	1.0
61	2.968	0.18	14.677	0.599	1.0	1.0
58	2.968	0.18	15.839	1.003	1.0	1.0
55	2.774	0.497	17.29	0.973	1.0	1.0
52	1.387	0.667	20.226	2.261	1.0	1.0
49	0.967	0.414	23.536	3.394	0.871	0.903
46	0.286	0.46	30.0	4.427	0.258	0.355
43	0.065	0.25	28.0	2.828	0.065	0.065
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
