voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.125	10.833	0.381	0.774	0.774
100	5.0	0.258	10.903	0.301	1.0	1.0
97	4.903	0.301	11.0	0.0	1.0	1.0
94	4.806	0.402	11.0	0.0	1.0	1.0
91	4.387	0.495	11.032	0.18	1.0	1.0
88	4.194	0.402	11.032	0.18	1.0	1.0
85	4.0	0.0	11.387	0.558	1.0	1.0
82	4.0	0.0	11.71	0.461	1.0	1.0
79	4.0	0.0	11.935	0.25	1.0	1.0
76	3.903	0.301	12.161	0.374	1.0	1.0
73	3.581	0.502	12.484	0.508	1.0	1.0
70	3.194	0.402	12.968	0.407	1.0	1.0
67	3.032	0.18	13.581	0.62	1.0	1.0
64	3.0	0.0	13.871	0.619	1.0	1.0
61	3.0	0.258	14.774	0.762	1.0	1.0
58	2.935	0.25	15.581	0.886	1.0	1.0
55	2.613	0.615	17.484	1.288	1.0	1.0
52	1.613	0.761	19.613	2.813	1.0	1.0
49	1.133	0.681	21.893	3.695	0.871	0.903
46	0.333	0.48	30.231	6.534	0.29	0.419
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
